step,reward,tploss,action_a,action_f,A,f,expr
137,-2.019352284089247,2.519352284089247,0.7178820967674255,0.051902346312999725,250.0,-51.90870478749275,250.00[m s^-1] | -51.91[m s^-1]
138,-2.086473812143844,2.586473812143844,1.0,0.8195759057998657,250.0,-35.51718667149544,250.00[m s^-1] | -35.52[m s^-1]
139,-2.0938998903915174,2.5938998903915174,0.05398869514465332,1.0,250.0,-15.517186671495438,250.00[m s^-1] | -15.52[m s^-1]
140,-2.027669335998075,2.527669335998075,-0.8474374413490295,-0.1946154683828354,233.0512511730194,-19.409496039152145,233.05[m s^-1] | -19.41[m s^-1]
141,-2.056551202054474,2.556551202054474,0.10702723264694214,0.7278796434402466,235.19179582595825,-4.851903170347214,235.19[m s^-1] | -4.85[m s^-1]
142,-2.1735770107722874,2.6735770107722874,1.0,-0.016905933618545532,250.0,-5.190021842718124,250.00[m s^-1] | -5.19[m s^-1]
143,-2.1972005359399107,2.6972005359399107,1.0,-0.6364749073982239,250.0,-17.919519990682602,250.00[m s^-1] | -17.92[m s^-1]
144,-2.3428288584727612,2.8428288584727612,1.0,-1.0,250.0,-37.9195199906826,250.00[m s^-1] | -37.92[m s^-1]
145,-2.476300356998636,2.976300356998636,-0.5195598006248474,-1.0,239.60880398750305,-57.9195199906826,239.61[m s^-1] | -57.92[m s^-1]
146,-2.607869798508307,3.107869798508307,1.0,0.7975830435752869,250.0,-41.967859119176865,250.00[m s^-1] | -41.97[m s^-1]
147,-2.699668995351571,3.199668995351571,0.13632416725158691,1.0,250.0,-21.967859119176865,250.00[m s^-1] | -21.97[m s^-1]
148,-2.5977211323462512,3.0977211323462512,0.7876278758049011,-0.027324050664901733,250.0,-22.5143401324749,250.00[m s^-1] | -22.51[m s^-1]
149,-1.964003498420014,2.464003498420014,-0.8941269516944885,0.6309864521026611,232.11746096611023,-9.894611090421677,232.12[m s^-1] | -9.89[m s^-1]
150,-2.059426348376086,2.559426348376086,0.29244643449783325,1.0,237.9663896560669,10.105388909578323,237.97[m s^-1] | 10.11[m s^-1]
151,-2.5129061635964636,3.0129061635964636,0.388485848903656,0.7102919816970825,245.73610663414001,24.311228543519974,245.74[m s^-1] | 24.31[m s^-1]
152,-2.577619737066841,3.077619737066841,-0.23441767692565918,-1.0,241.04775309562683,4.311228543519974,241.05[m s^-1] | 4.31[m s^-1]
153,-2.3961704722962827,2.8961704722962827,-0.11853307485580444,0.20729930698871613,238.67709159851074,8.457214683294296,238.68[m s^-1] | 8.46[m s^-1]
154,-2.0781506973259223,2.5781506973259223,1.0,-0.14979654550552368,250.0,5.461283773183823,250.00[m s^-1] | 5.46[m s^-1]
155,-2.080806964277019,2.580806964277019,0.43386581540107727,1.0,250.0,25.461283773183823,250.00[m s^-1] | 25.46[m s^-1]
156,-2.400315638701571,2.900315638701571,1.0,0.4209630787372589,250.0,33.880545347929,250.00[m s^-1] | 33.88[m s^-1]
157,-2.408818512016339,2.908818512016339,0.07579678297042847,-1.0,250.0,13.880545347929,250.00[m s^-1] | 13.88[m s^-1]
158,-2.102164659589239,2.602164659589239,0.6452118158340454,-0.034458719193935394,250.0,13.191370964050293,250.00[m s^-1] | 13.19[m s^-1]
159,-1.770595145160283,2.270595145160283,1.0,-0.6171579360961914,250.0,0.8482122421264648,250.00[m s^-1] | 0.85[m s^-1]
160,-1.8899864630036598,2.38998646300366,1.0,-0.013273201882839203,250.0,0.5827482044696808,250.00[m s^-1] | 0.58[m s^-1]
161,-2.144135089173545,2.644135089173545,1.0,1.0,250.0,20.58274820446968,250.00[m s^-1] | 20.58[m s^-1]
162,-2.1218594173917746,2.6218594173917746,0.6480138301849365,0.37535208463668823,250.0,28.089789897203445,250.00[m s^-1] | 28.09[m s^-1]
163,-1.910102053713643,2.410102053713643,-0.3540979027748108,-0.31978166103363037,242.91804194450378,21.694156676530838,242.92[m s^-1] | 21.69[m s^-1]
164,-1.5748416697968692,2.0748416697968692,-0.5933541655540466,0.12845709919929504,231.05095863342285,24.26329866051674,231.05[m s^-1] | 24.26[m s^-1]
165,-1.185490885554708,1.685490885554708,-1.0,-1.0,211.05095863342285,4.263298660516739,211.05[m s^-1] | 4.26[m s^-1]
166,-1.22655016082792,1.72655016082792,1.0,0.3537046015262604,231.05095863342285,11.337390691041946,231.05[m s^-1] | 11.34[m s^-1]
167,-1.437428479963283,1.937428479963283,0.37401023507118225,-1.0,238.5311633348465,-8.662609308958054,238.53[m s^-1] | -8.66[m s^-1]
168,-1.6214722697350399,2.12147226973504,1.0,-0.7881022691726685,250.0,-24.424654692411423,250.00[m s^-1] | -24.42[m s^-1]
169,-1.639014872525491,2.139014872525491,0.3328794836997986,-1.0,250.0,-44.42465469241142,250.00[m s^-1] | -44.42[m s^-1]
170,-1.557945925204863,2.057945925204863,1.0,-0.30384230613708496,250.0,-50.50150081515312,250.00[m s^-1] | -50.50[m s^-1]
171,-1.435816193199798,1.935816193199798,0.10717839002609253,0.8305761814117432,250.0,-33.88997718691826,250.00[m s^-1] | -33.89[m s^-1]
172,-1.23059674976619,1.73059674976619,-0.7759386897087097,1.0,234.4812262058258,-13.889977186918259,234.48[m s^-1] | -13.89[m s^-1]
